"judul","alamat","kamar","rumah","lahan","harga","lat","lng"
"DIJUAL RUMAH DBERINGIN HILLS WONOSARI NGALIYAN","Ngaliyan, Semarang",3,120,120,6.5e+08,-6.98811435291937,110.344793742896
"DIJUAL RUMAH GRAHA WANAMUKTI KEDUNG MUNDU","Tembalang, Semarang",2,77,77,4e+08,-7.06453077393267,110.324724244215
"STRATEGIS , LOKASI TERBAIK Kos Baru dekat UNDIP Semarang","Tembalang, Semarang",16,200,200,4.55e+09,-7.063599052345,110.325701057311
"Dijual Kost Strategis 16 Kamar Dekat Pusat Kota Semarang","Gajahmungkur, Semarang",16,190,190,2.975e+09,-7.00783419520566,110.411700252119
"RUMAH SIAP HUNI SELANGKAH KE UNIMUS","Tembalang, Semarang",3,121,121,8.75e+08,-7.02045898994286,110.465756297409
"Dijual dibawah harga pasar rumah di pandanaran hills semarang","Tembalang, Semarang",3,84,84,1.03e+09,-7.06367912362618,110.325932951647
"Rumah Cantik Ready 2 Lantai Selangkah dari Jln Raya Grafika Banyumanik","Banyumanik, Semarang",3,102,102,9.95e+08,-7.07761253003536,110.420643721089
"Rumah cantik di beringin cluater","Beringin, Semarang",2,120,120,7.44e+08,-6.99637862044694,110.333639366563
"LOKASI PREMIUM, BEST UNIT Rumah Kos Dekat UNDIP SMG","Tembalang, Semarang",18,234,234,3.77e+09,-7.06521381061812,110.324768006833
"Cluster perumahan selangkah dari UNDIP, dekat berbagai fasilitas umum","Tembalang, Semarang",2,50,50,4.3e+08,-7.06976267989476,110.449004356561
"CLUSTER DEKAT UNDIP, LAGI ADA PROMO DISKON AGUSTUS, BONUS AC 1 UNIT","Kramas, Semarang",3,55,55,4.3e+08,-7.07077563996285,110.448693943857
"Rumah murah di semarang terdapat 4 kos-kosan yang siap huni","Bawen, Semarang",4,81,81,1.5e+08,-7.2467085588569,110.432548710408
"Dijual Kost Baru Strategis di Ring 1 Kampus UNDIP Semarang","Tembalang, Semarang",10,114,114,1.975e+09,-7.06361254611992,110.325630856234
"Rumah murah di semarang yang siap huni","Banyumanik, Semarang",2,72,72,1.5e+08,-7.07975880745314,110.412665903752
"Cluster Main Road Tipe Del/Neo Blossom","Tembalang, Semarang",3,220,220,3703044000,-7.0375866114088,110.459005647969
"Cluster Main Road Tipe Athena","Tembalang, Semarang",4,240,240,4643271000,-7.03677263068787,110.457339824951
"Cluster Red Terracotta Tipe Fawn Del","Tembalang, Semarang",1,72,72,1056781000,-7.03596301752289,110.458930233508
"Cluster Red Terracotta Tipe Myka","Tembalang, Semarang",2,120,120,1635945000,-7.03670023329376,110.45844730349
"CLUSTER BARU SIAP HUNI SHM KEDUNGPANE NGALIYAN SEMARANG","Kedungpane, Semarang",2,120,120,559900000,-7.04049097943651,110.338935925807
"Rumah cantik minimalis di jl merpati pedurungan semarang timur 9067","Pedurungan Tengah, Semarang",2,80,80,5.25e+08,-7.00760021304135,110.494589697979
"Rumah hook lt 408 di taman majapahit pedurungan semarang  6855","Pedurungan Lor, Semarang",3,408,408,3.5e+09,-7.01536035876581,110.483981743065
"Rumah cantik di Victoria Valley Citraland Bsb semarang 8637","Mijen, Semarang",3,240,240,3.2e+09,-7.05337195393287,110.317459958501
"Rumah MURAH 2LT di Banyumanik Selangkah Smk Grafika Semarang","Banyumanik, Semarang",3,84,84,6.47e+08,-7.07836046473747,110.422023042932
"DE VILLA TOWNHOUSE KEDUNGMUNDU SAMBIROTO TEMBALANG KETILENG SEMARANG","Kedungmundu, Semarang",3,65,65,810500000,-7.03160202226833,110.456365729774
"RUMAH 3 LANTAI CLUSTER DE VILLA TLAGA BODAS KAMPUS UNIKA AKPOL","Jatingaleh, Semarang",4,105,105,1.833e+09,-7.02753156159306,110.425676224397
"STRATEGIS MURAH RUMAH KOS MODERN SPESIAL RING 1 KAMPUS UNDIP SMG","Semarang Selatan, Semarang",10,219,219,3.6e+09,-6.99861879539836,110.429596044406
